emp_no,last_name,first_name,dept_no
10001,Facello,Georgi,d005
10002,Simmel,Bezalel,d007
10006,Preusig,Anneke,d005
10008,Kalloufi,Saniya,d005
10012,Bridgland,Patricio,d005
10014,Genin,Berni,d005
10016,Cappelletti,Kazuhito,d007
10018,Peha,Kazuhide,d005
10021,Erde,Ramzi,d005
10022,Famili,Shahaf,d005
10023,Montemayor,Bojan,d005
10025,Heyers,Prasadram,d005
10027,Reistad,Divier,d005
10028,Tempesti,Domenick,d005
10031,Joslin,Karsten,d005
10034,Swan,Bader,d007
10037,Makrucki,Pradeep,d005
10040,Meriste,Weiyi,d005
10041,Lenart,Uri,d007
10043,Tzvieli,Yishay,d005
10048,Syrotiuk,Florian,d005
10050,Dredge,Yinghua,d007
10053,Zschoche,Sanjiv,d007
10056,Bernini,Brendon,d005
10057,Callaway,Ebbe,d005
10060,Billingsley,Breannda,d007
10061,Herber,Tse,d007
10062,Peyn,Anoosh,d005
10065,Awdeh,Satosi,d005
10066,Schusler,Kwee,d005
10068,Brattka,Charlene,d007
10070,Garigliano,Reuven,d005
10072,Sidou,Hironoby,d005
10074,Bernatsky,Mokhtar,d005
10075,Dolinsky,Gao,d005
10076,Ritzmann,Erez,d005
10078,Mondadori,Danel,d005
10079,Gils,Kshitij,d005
10087,Eugenio,Xinglin,d007
10088,Syrzycki,Jungsoon,d007
10089,Flasterstein,Sudharsan,d007
10090,Hofting,Kendra,d005
10091,Gomatam,Amabile,d005
10092,Niizuma,Valdiodio,d005
10093,Desikan,Sailaja,d007
10095,Morton,Hilari,d007
10099,Sullins,Valter,d007
10101,Heyers,Perla,d007
10103,Birch,Akemi,d005
10107,Baca,Dung,d007
10116,Czap,Dayanand,d005
10118,Zyda,Zhonghui,d005
10121,Ramsay,Guoxiang,d005
10122,Esposito,Ohad,d005
10125,Hiltgen,Syozo,d007
10127,Baja,Subir,d005
10129,Peir,Armond,d005
10134,Siprelle,Diederik,d005
10136,Pintelas,Zissis,d007
